library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,function,,,,,,,,,,,,
Bank Marketing,replace,2.2018209698406488e-08,3.747918351738738e-09,2.849067944528122e-09,3.253044949020975e-08,1.2336070835884805e-08,2.7370675922414786e-08,2.111418209354481e-09,3.1663068431252815e-09,2.9322878251412493e-08,1.1111916277375327e-08,2.906513335194369e-09,1.0680925365354322e-08
Bank Marketing,save_csv,5.45131402160904e-05,0.0001235430176004736,0.0001010799367739456,1.8485554113763595e-05,2.5116608639606893e-07,2.7301440730713395e-08,6.669304741670551e-08,8.97144305921622e-08,6.411341937214535e-08,7.071432818259918e-06,0.00020514555169595165,0.0001473617181055022
Bank Marketing,save_json,7.701054573125287e-05,5.243895424746706e-05,0.00017479321857427518,5.3188669218129e-05,2.8888753237107913e-08,4.001455125713802e-08,2.8079070419223855e-08,2.9901324600354296e-08,4.866886554957994e-08,8.669970268224516e-05,0.00011176658394744068,0.00016351304428539336
Bank Marketing,sort,1.338875676993273e-10,2.773890978110321e-09,3.0794428229301012e-09,1.4156477451333265e-08,1.602355116025606e-08,2.2059139172119584e-08,1.5901851500602683e-08,1.2109365550272269e-08,6.539387810796946e-09,5.532708297009501e-07,4.224594801342457e-09,1.1781698579700638e-08
Bank Marketing,sum,7.645462630989735e-08,5.1534354651615436e-08,1.0379856259897945e-06,3.6685058203461045e-08,1.2295096693060554e-10,2.617914436546731e-08,2.724004035072222e-10,9.786804539078162e-10,1.0899103349754347e-08,3.897774818829016e-08,3.0489364175510533e-08,1.9383154994049923e-08
Bank Marketing,unique,5.3679234322493616e-08,8.926713536027451e-08,1.3378272169328084e-07,3.013712858468922e-08,3.3763466740655264e-10,3.190691790908566e-08,1.4886199613980513e-08,2.1030564088226394e-08,1.800908742804002e-08,1.9939940662319762e-07,7.213121515483995e-08,3.209992507016466e-08
Drug Review,concat_dataframes,5.6933004088942354e-09,1.1850829370922194e-08,1.036890520024325e-08,2.399394187882902e-06,2.2635869334829192e-08,1.7338654740063042e-08,1.4598949097230326e-08,2.0372256692840497e-08,2.4458986276681666e-09,1.8684517905965934e-10,2.5033871628100907e-08,2.124774194096554e-09
Drug Review,count,2.9093122107018226e-05,2.017002919022356e-05,2.6230696589146843e-05,1.3054847304607923e-07,1.0133597756808017e-07,7.837822943705779e-08,1.5598087410638373e-08,2.1462839826218717e-08,1.5116417560491864e-08,3.112241329860727e-08,4.1169778687883853e-08,4.0231430247509164e-08
Drug Review,drop,4.901432759883109e-10,3.668604603238607e-10,2.362753184346647e-08,3.086036057765115e-07,3.628146653201052e-08,4.025933448581386e-08,3.6211777666612466e-09,2.2653873102529164e-08,2.9824458089515204e-09,1.7246624150268305e-08,1.9791473957526705e-08,2.812790853567768e-09
Drug Review,dropna,9.893089834523306e-09,1.2600060017574381e-09,2.7060672105160614e-08,7.889304493675707e-07,1.1117390823318331e-07,1.0271192748527918e-07,3.981507682716645e-08,3.2601338955206007e-08,1.7112059503661305e-08,1.6771730819698707e-08,1.7275711851755248e-08,2.1016833322387654e-08
Drug Review,fillna,2.0291223328403952e-08,1.6004534031134983e-08,2.7606085101152827e-08,2.710302351373004e-07,1.7742222103138802e-07,1.8363660516684062e-07,4.345980670030227e-08,4.5972257532250353e-08,2.435806807988775e-08,2.193436872643614e-08,1.8213098237745112e-08,1.7153025907448177e-08
Drug Review,groupby,1.8079751603534881e-09,1.991670352743973e-09,2.190623241016961e-08,3.512406657325094e-08,2.4759658023459687e-08,3.241419881828373e-08,9.588762564678264e-09,1.783263356794377e-08,9.99296984306106e-09,6.124340207710065e-08,4.777593505486089e-08,8.765035905073603e-08
Drug Review,isna,2.0183408181483188e-09,2.445675401455337e-09,2.4382758518753205e-08,1.0206819873584095e-07,5.05678659361981e-08,7.311347830203251e-08,1.5891967466125093e-08,2.74192705584824e-08,9.702213196826553e-09,5.888258165673334e-07,9.678316304509921e-08,1.0978202350009622e-07
Drug Review,load_csv,1.8706415024398074e-09,4.8664541340302885e-09,1.0711333175654706e-08,3.36469589594616e-05,8.86474792878289e-06,3.570044983277889e-05,1.6227212043488394e-07,6.155038938606324e-08,9.149245109620198e-08,8.37749210517615e-05,0.0001612264291261663,9.857747127781461e-05
Drug Review,load_json,0.0038364075005554448,0.004972555787837363,0.004111180447271429,0.07353735097845503,0.002743100447547277,0.00593684476132617,3.530463470066476e-05,7.002497649011439e-05,4.534990248912026e-05,0.0066165880153539695,0.008596561166810958,0.004876116837859932
Drug Review,max,1.107849026776499e-05,3.6195904010252224e-06,8.707128539095607e-06,3.4620839757224043e-08,2.9195317325900595e-08,3.0470085485129046e-08,,,,4.963779027658069e-08,4.1042984254024473e-08,4.1260270177548495e-08
Drug Review,mean,7.236052815694672e-06,9.303618292926913e-06,7.837659514816441e-06,3.3665124103482535e-08,2.898323966377205e-08,3.256097116728067e-08,5.521132712042441e-09,2.8351018618689603e-08,1.3422510829304387e-08,2.5492503695751433e-08,4.078586558674727e-08,2.7875556963280353e-08
Drug Review,merge,1.313753280000276e-08,1.3071895732247162e-08,1.123177877797726e-08,2.794678491967761e-05,1.5876632183834634e-05,1.6005021511006328e-05,1.5951366218244945e-09,2.1005586464610376e-08,1.94336205263465e-08,2.1737946553913078e-08,2.2488926801796173e-08,4.005424140511189e-09
Drug Review,min,6.538688204881259e-06,7.96942204457952e-06,6.161815445000398e-06,3.5173329562853965e-08,2.862697722294845e-08,3.155129376665607e-08,,,,5.164920471893144e-08,0.00013530404069618407,2.8494020089292278e-08
Drug Review,replace,2.1158820836926967e-08,1.5681911170906323e-08,2.942272177519536e-08,6.97153578146048e-08,4.6482813769008815e-08,6.587624039429611e-08,4.282198528986709e-08,1.759784223013061e-08,1.6681086698714556e-08,2.498418247153767e-08,2.6101167935555706e-08,2.502420860158332e-08
Drug Review,save_csv,0.005434000808455826,0.0042142129687626475,0.010099782139714469,0.0004863594494195397,2.074528916190726e-05,1.2867472416357319e-05,1.1781691798738611e-05,5.984259849937314e-06,6.733760199701892e-06,0.00011938733542607204,9.313006534645443e-05,7.778921467698612e-05
Drug Review,save_json,0.00548667880464477,0.005926615711002824,0.01055513377326314,1.2179517637053916e-05,5.2493908844223896e-06,5.715010179667174e-06,4.831421021714649e-06,2.9365141718698516e-06,3.3414329456310665e-06,4.504256634516941e-05,2.9622544782577023e-05,3.0178904176634272e-05
Drug Review,sort,2.1169971025792277e-09,3.2495834348810315e-09,2.1215719139089764e-08,1.9981582958491967e-07,5.8288823691319333e-08,5.4488545136640896e-08,4.496032921625032e-08,4.2339464665588076e-08,2.5974554741321382e-08,7.935525846069636e-08,2.0443532854095956e-06,1.967187600441297e-06
Drug Review,sum,1.0438200449201858e-05,2.573713014922322e-05,9.205346072029755e-06,3.301519239451795e-08,2.7965255208854417e-08,2.910289639522068e-08,2.5184596179856307e-09,1.4418952699857157e-08,8.197146819613898e-09,3.332905344376451e-08,3.622519469286045e-08,1.8347921400051442e-08
Drug Review,unique,6.5389521711866156e-06,9.95617894030604e-06,9.606095718538894e-06,4.565802466730797e-08,2.6765530097778067e-08,2.9602453413197708e-08,2.9509342661741276e-09,2.0451486319457515e-08,1.7237914026952536e-09,1.562596095543072e-07,2.5498019987516535e-07,2.566223372630776e-07
Student Exam,concat_dataframes,8.300074689946393e-09,1.893653612242325e-08,1.0484164752556136e-08,9.774836541311499e-08,8.323114270335397e-09,9.497310152618726e-09,2.7233919430493383e-08,1.0733020784614999e-08,2.096914081761421e-08,5.751554922561679e-10,2.2090381771209056e-08,6.983851538942992e-09
Student Exam,count,1.0277325560565088e-06,8.138897904530223e-07,5.975270498250668e-07,1.3191345596585853e-08,4.622289650749855e-09,1.3927060306319545e-08,1.800716589989951e-08,1.411641946652313e-09,6.486143670021322e-09,1.2406348723277345e-08,1.7775074084989277e-08,6.824350356665026e-09
Student Exam,drop,2.2150722880442244e-08,2.061149032293863e-08,7.670993139842357e-10,5.8914416841465745e-08,1.4845041973211696e-08,1.7893293243002285e-08,5.85976337281553e-10,1.688816518266997e-08,9.67812013641331e-09,6.3902678868119376e-09,2.1229913332802455e-08,4.5804758909523735e-09
