library,,Dask,Dask,Dask,Pandas,Pandas,Pandas,Polars,Polars,Polars,Vaex,Vaex,Vaex
version,,2022.1.0,2024.8.0,2025.1.0,1.0.0,2.0.0,2.2.3,0.20.0,1.0.0,1.31.0,4.13.0,4.15.0,4.17.0
dataset,category,,,,,,,,,,,,
Water Potability,I/O,0.2177725,0.2112725,0.2121275,0.2308335,0.130523,0.134705,0.035033999999999996,0.0371095,0.0347595,0.17459049999999998,0.155334,0.1564935
Water Potability,Aggregation,0.10119600000000001,0.09902949999999999,0.0990895,0.0068055,0.0013425,0.0014954999999999999,0.0026550000000000002,0.0024720000000000002,0.0027475,0.0326235,0.030853,0.023955999999999998
Water Potability,Missing,0.0017705,0.0018005,0.002869,0.007690499999999999,0.001953,0.0023805,0.009795499999999999,0.010345,0.01001,0.022949,0.0186765,0.018707
Water Potability,Row/Column,0.028503,0.026488499999999998,0.0299075,0.011108,0.0054935,0.007202,0.001648,0.001709,0.001831,0.015259,0.012848,0.0136115
Student Exam,I/O,2.8620535,2.825341,2.787743,1.4387475,0.638945,0.6428815,0.196899,0.1986685,0.197326,1.586421,1.48486,1.4870565
Student Exam,Aggregation,0.180237,0.1761165,0.17654350000000002,0.007019,0.0010379999999999999,0.0,0.003541,0.0043025,0.0038145,0.051392,0.05011,0.033507999999999996
Student Exam,Missing,0.025726000000000002,0.0239255,0.0257865,0.080108,0.0503235,0.0495905,0.056579000000000004,0.057312,0.0564885,0.069397,0.0700065,0.078735
Student Exam,Row/Column,0.0720825,0.071228,0.070893,0.0422665,0.0180665,0.019165500000000002,0.009705,0.009674,0.009430000000000001,0.0169985,0.015685499999999998,0.016479
Adult,I/O,3.2451090000000002,3.2680575000000003,3.3150555,1.514217,0.701109,0.732572,0.20974700000000002,0.211578,0.206268,1.51617,1.4447904999999999,1.387478
Adult,Aggregation,0.2352295,0.2362665,0.2362355,0.0069275,0.0013425,0.000915,0.0054325,0.005279,0.004974,0.053985000000000005,0.05481,0.0415955
Adult,Missing,0.0027465,0.002961,0.003937,0.072632,0.0452575,0.046112,0.0253595,0.026428,0.026855,0.08758450000000001,0.069244,0.06488
Adult,Row/Column,0.078277,0.078461,0.078796,0.0411375,0.017456,0.018402,0.011475,0.011626999999999998,0.0117185,0.016601499999999998,0.0171205,0.0165405
Bank Marketing,I/O,4.272053,4.3943065,4.1971935,2.082423,0.5520615,0.580077,0.249114,0.2499085,0.25012100000000004,2.2159364999999998,2.134393,2.1178235
Bank Marketing,Aggregation,0.24487199999999998,0.24444549999999998,0.243285,0.0063785000000000005,0.0015565000000000002,0.001282,0.0032345000000000004,0.005188,0.0044255,0.051697,0.0521235,0.033905000000000005
Bank Marketing,Missing,0.002899,0.0042115,0.004028,0.10614,0.066894,0.0689085,0.036376500000000006,0.028442000000000002,0.0373225,0.07141049999999999,0.0607905,0.060974
Bank Marketing,Row/Column,0.07208149999999999,0.0724785,0.070953,0.0583195,0.0282595,0.028381,0.0098885,0.0093995,0.00946,0.016693,0.0157165,0.015990499999999998
Drug Review,I/O,78.48954549999999,77.39381399999999,76.129169,19.926187499999997,8.169259499999999,8.19813,1.4309045,1.459865,1.436703,12.6691265,10.028295,10.0267385
Drug Review,Aggregation,2.932335,2.9191209999999996,2.9018474999999997,0.0069275,0.001709,0.0013735,0.005707,0.0052485,0.004547000000000001,0.059875,0.0585325,0.0425115
Drug Review,Missing,0.004059,0.003601,0.0026545,0.2225645,0.23056000000000001,0.23675449999999998,0.046692,0.043090500000000004,0.0448295,0.03778,0.035278500000000004,0.036133
Drug Review,Row/Column,0.047821,0.0469355,0.046661,0.1481935,0.07266249999999999,0.0737305,0.0081175,0.008118,0.008392,0.0159615,0.0149235,0.014953
US Census 1990,I/O,735.7580654999999,726.3478415,597.2584505,316.9802975,166.48510850000002,167.24273599999998,56.546853,57.204840000000004,52.4058105,233.7407045,215.95620300000002,210.178905
US Census 1990,Aggregation,18.122208,15.849477,15.946675500000001,0.023804,0.0163575,0.016021,0.26824899999999996,0.262328,0.2580875,0.121002,0.100677,0.106201
US Census 1990,Missing,0.039459499999999995,0.003143,0.003814,0.566496,0.5200180000000001,0.5228560000000001,0.2508235,0.289733,0.2507925,0.2600095,0.2257075,0.2260425
US Census 1990,Row/Column,1.7929650000000001,0.1026305,0.104766,2.223719,2.463647,2.3828370000000003,0.0370175,0.038086,0.039062,0.27386449999999996,0.2362055,0.2375175
